areaType,areaName,areaCode,date,newDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDate
overview,United Kingdom,K02000001,2021-07-19,83,129084
overview,United Kingdom,K02000001,2021-07-18,66,129001
overview,United Kingdom,K02000001,2021-07-17,52,128935
overview,United Kingdom,K02000001,2021-07-16,50,128883
overview,United Kingdom,K02000001,2021-07-15,52,128833
overview,United Kingdom,K02000001,2021-07-14,42,128781
overview,United Kingdom,K02000001,2021-07-13,49,128739
overview,United Kingdom,K02000001,2021-07-12,39,128690
overview,United Kingdom,K02000001,2021-07-11,33,128651
overview,United Kingdom,K02000001,2021-07-10,42,128618
overview,United Kingdom,K02000001,2021-07-09,47,128576
overview,United Kingdom,K02000001,2021-07-08,38,128529
overview,United Kingdom,K02000001,2021-07-07,29,128491
overview,United Kingdom,K02000001,2021-07-06,32,128462
overview,United Kingdom,K02000001,2021-07-05,28,128430
overview,United Kingdom,K02000001,2021-07-04,28,128402
overview,United Kingdom,K02000001,2021-07-03,28,128374
overview,United Kingdom,K02000001,2021-07-02,28,128346
overview,United Kingdom,K02000001,2021-07-01,21,128318
overview,United Kingdom,K02000001,2021-06-30,21,128297
overview,United Kingdom,K02000001,2021-06-29,24,128276
overview,United Kingdom,K02000001,2021-06-28,12,128252
overview,United Kingdom,K02000001,2021-06-27,20,128240
overview,United Kingdom,K02000001,2021-06-26,17,128220
overview,United Kingdom,K02000001,2021-06-25,20,128203
overview,United Kingdom,K02000001,2021-06-24,21,128183
overview,United Kingdom,K02000001,2021-06-23,7,128162
overview,United Kingdom,K02000001,2021-06-22,13,128155
overview,United Kingdom,K02000001,2021-06-21,16,128142
overview,United Kingdom,K02000001,2021-06-20,23,128126
overview,United Kingdom,K02000001,2021-06-19,23,128103
overview,United Kingdom,K02000001,2021-06-18,13,128080
overview,United Kingdom,K02000001,2021-06-17,6,128067
overview,United Kingdom,K02000001,2021-06-16,11,128061
overview,United Kingdom,K02000001,2021-06-15,19,128050
overview,United Kingdom,K02000001,2021-06-14,9,128031
overview,United Kingdom,K02000001,2021-06-13,10,128022
overview,United Kingdom,K02000001,2021-06-12,13,128012
overview,United Kingdom,K02000001,2021-06-11,6,127999
overview,United Kingdom,K02000001,2021-06-10,11,127993
overview,United Kingdom,K02000001,2021-06-09,7,127982
overview,United Kingdom,K02000001,2021-06-08,8,127975
overview,United Kingdom,K02000001,2021-06-07,5,127967
overview,United Kingdom,K02000001,2021-06-06,6,127962
overview,United Kingdom,K02000001,2021-06-05,5,127956
overview,United Kingdom,K02000001,2021-06-04,9,127951
overview,United Kingdom,K02000001,2021-06-03,12,127942
overview,United Kingdom,K02000001,2021-06-02,10,127930
overview,United Kingdom,K02000001,2021-06-01,4,127920
overview,United Kingdom,K02000001,2021-05-31,7,127916
overview,United Kingdom,K02000001,2021-05-30,8,127909
overview,United Kingdom,K02000001,2021-05-29,7,127901
overview,United Kingdom,K02000001,2021-05-28,8,127894
overview,United Kingdom,K02000001,2021-05-27,8,127886
overview,United Kingdom,K02000001,2021-05-26,11,127878
overview,United Kingdom,K02000001,2021-05-25,4,127867
overview,United Kingdom,K02000001,2021-05-24,9,127863
overview,United Kingdom,K02000001,2021-05-23,7,127854
overview,United Kingdom,K02000001,2021-05-22,4,127847
overview,United Kingdom,K02000001,2021-05-21,7,127843
overview,United Kingdom,K02000001,2021-05-20,5,127836
overview,United Kingdom,K02000001,2021-05-19,5,127831
overview,United Kingdom,K02000001,2021-05-18,6,127826
overview,United Kingdom,K02000001,2021-05-17,7,127820
overview,United Kingdom,K02000001,2021-05-16,8,127813
overview,United Kingdom,K02000001,2021-05-15,7,127805
overview,United Kingdom,K02000001,2021-05-14,6,127798
overview,United Kingdom,K02000001,2021-05-13,5,127792
overview,United Kingdom,K02000001,2021-05-12,11,127787
overview,United Kingdom,K02000001,2021-05-11,14,127776
overview,United Kingdom,K02000001,2021-05-10,8,127762
overview,United Kingdom,K02000001,2021-05-09,9,127754
overview,United Kingdom,K02000001,2021-05-08,8,127745
overview,United Kingdom,K02000001,2021-05-07,10,127737
